	=subtotal(109,B3:B3)										Total	Unique	Corrected	
1222.0	1	sp|P31374|PSK1_YEAST	 	31.0	1356	152330	Serine/threonine-protein kinase PSK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSK1 PE=1 SV=2	69	63	0.913	69	63	67.667	sp|P31374|PSK1_YEAST, sp|Q08217|PSK2_YEAST
1223.0	1	sp|P31376|SWC3_YEAST	 	15.5	625	72514	SWR1-complex protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWC3 PE=1 SV=2	16	16	1.000	16	16	16.000	 
1224.0	1	sp|P31377|STX8_YEAST	 	7.5	255	29048	Syntaxin-8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SYN8 PE=1 SV=2	2	2	1.000	2	2	2.000	 
1225.0	1	sp|P31378|NTH1_YEAST	 	22.1	399	45576	Endonuclease III homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NTG1 PE=1 SV=1	10	10	1.000	10	10	10.000	 
1226.0	1	sp|P31379|LDS1_YEAST	 	11.1	325	37050	Outer spore wall protein LDS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LDS1 PE=1 SV=1	4	4	1.000	4	4	4.000	 
1227.0	1	sp|P31380|FUN30_YEAST	 	29.3	1131	128505	ATP-dependent helicase FUN30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUN30 PE=1 SV=1	51	51	1.000	51	51	51.000	 
1228.0	1	sp|P31381|FUN26_YEAST	 	19.0	517	58317	Nucleoside transporter FUN26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUN26 PE=1 SV=1	17	17	1.000	17	17	17.000	 
1229.0	1	sp|P31382|PMT2_YEAST	 	36.1	759	86869	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMT2 PE=1 SV=2	107	99	0.925	107	99	105.000	sp|P31382|PMT2_YEAST, sp|P47190|PMT3_YEAST
1230.0	1	sp|P31383|2AAA_YEAST	 	34.2	635	70907	Protein phosphatase PP2A regulatory subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPD3 PE=1 SV=3	57	57	1.000	57	57	57.000	 
1231.0	1	sp|P31384|CCR4_YEAST	 	30.0	837	94669	Glucose-repressible alcohol dehydrogenase transcriptional effector OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCR4 PE=1 SV=2	52	52	1.000	52	52	52.000	 
1232.0	1	sp|P31385|DEP1_YEAST	 	35.1	405	46977	Transcriptional regulatory protein DEP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DEP1 PE=1 SV=3	27	27	1.000	27	27	27.000	 
1233.0	1	sp|P31386|ATS1_YEAST	 	22.2	333	36467	Protein ATS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATS1 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1234.0	1	sp|P31412|VATC_YEAST	 	46.2	392	44188	V-type proton ATPase subunit C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA5 PE=1 SV=4	87	87	1.000	87	87	87.000	 
1235.0	1	sp|P31539|HS104_YEAST	 	52.2	908	102034	Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP104 PE=1 SV=2	404	401	0.993	404	401	403.354	sp|P31539|HS104_YEAST, sp|P33416|HSP78_YEAST
1236.0	1	sp|P31688|TPS2_YEAST	 	51.9	896	102975	Trehalose-phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPS2 PE=1 SV=3	165	165	1.000	165	165	165.000	 
1237.0	1	sp|P31755|OCH1_YEAST	 	27.5	480	55155	Initiation-specific alpha-1,6-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OCH1 PE=1 SV=1	34	34	1.000	34	34	34.000	 
1238.0	1	sp|P31787|ACBP_YEAST	 	87.4	87	10061	Acyl-CoA-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACB1 PE=1 SV=3	37	37	1.000	37	37	37.000	 
1239.0	1	sp|P32047|MLF3_YEAST	 	11.5	452	49210	Protein MLF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLF3 PE=1 SV=2	4	4	1.000	4	4	4.000	 
1240.0	1	sp|P32048|SYKM_YEAST	 	23.6	576	66127	Lysine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSK1 PE=1 SV=3	20	20	1.000	20	20	20.000	 
1241.0	1	sp|P32074|COPG_YEAST	 	39.5	935	104830	Coatomer subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC21 PE=1 SV=2	110	110	1.000	110	110	110.000	 
1242.0	1	sp|P32178|CHMU_YEAST	 	50.4	256	29747	Chorismate mutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO7 PE=1 SV=1	27	27	1.000	27	27	27.000	 
1243.0	1	sp|P32179|MET22_YEAST	 	29.7	357	39149	3'(2'),5'-bisphosphate nucleotidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET22 PE=1 SV=1	25	25	1.000	25	25	25.000	 
1244.0	1	sp|P32190|GLPK_YEAST	 	33.9	709	79823	Glycerol kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GUT1 PE=1 SV=1	50	50	1.000	50	50	50.000	 
1245.0	1	sp|P32191|GPDM_YEAST	 	61.3	649	72388	Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GUT2 PE=1 SV=2	197	197	1.000	197	197	197.000	 
1246.0	1	sp|P32259|MED16_YEAST	 	35.4	974	111295	Mediator of RNA polymerase II transcription subunit 16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIN4 PE=1 SV=1	56	56	1.000	56	56	56.000	 
1247.0	1	sp|P32263|P5CR_YEAST	 	39.5	286	30131	Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRO3 PE=1 SV=1	30	30	1.000	30	30	30.000	 
1248.0	1	sp|P32264|PROB_YEAST	 	35.0	428	47162	Glutamate 5-kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRO1 PE=1 SV=2	37	35	0.946	37	35	36.628	sp|P32264|PROB_YEAST, sp|P38690|YHJ3_YEAST
1249.0	1	sp|P32266|MGM1_YEAST	 	38.4	881	99177	Dynamin-like GTPase MGM1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MGM1 PE=1 SV=3	81	77	0.951	81	77	78.027	sp|P21576|VPS1_YEAST, sp|P32266|MGM1_YEAST, sp|P54861|DNM1_YEAST
1250.0	1	sp|P32288|GLNA_YEAST	 	31.6	370	41766	Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLN1 PE=1 SV=4	64	64	1.000	64	64	64.000	 
1251.0	1	sp|P32316|ACH1_YEAST	 	58.6	526	58711	Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACH1 PE=1 SV=2	127	127	1.000	127	127	127.000	 
1252.0	1	sp|P32317|AFG1_YEAST	 	35.4	509	58264	Protein AFG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AFG1 PE=1 SV=1	36	36	1.000	36	36	36.000	 
1253.0	1	sp|P32318|THI4_YEAST	 	13.2	326	34991	Thiamine thiazole synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THI4 PE=1 SV=1	12	12	1.000	12	12	12.000	 
1254.0	1	sp|P32319|VPS10_YEAST	 	47.8	1579	177775	Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEP1 PE=1 SV=1	219	204	0.932	219	204	218.161	sp|P32319|VPS10_YEAST, sp|P40438|VTH1_YEAST, sp|P53751|YN94_YEAST
1255.0	1	sp|P32324|EF2_YEAST	 	67.6	842	93288	Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1	577	577	1.000	577	577	577.000	 
1256.0	1	sp|P32327|PYC2_YEAST	 	43.9	1180	130165	Pyruvate carboxylase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PYC2 PE=1 SV=2	254	118	0.465	254	118	189.009	sp|P11154|PYC1_YEAST, sp|P32327|PYC2_YEAST
1257.0	1	sp|P32328|DBF20_YEAST	 	19.3	564	65879	Serine/threonine-protein kinase DBF20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBF20 PE=1 SV=2	20	12	0.600	20	12	15.310	sp|P22204|DBF2_YEAST, sp|P32328|DBF20_YEAST
1258.0	1	sp|P32329|YPS1_YEAST	 	5.1	569	60009	Aspartic proteinase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPS1 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1259.0	1	sp|P32330|DGR2_YEAST	 	12.3	852	96021	2-deoxy-glucose resistant protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DGR2 PE=1 SV=1	12	12	1.000	12	12	12.000	 
1260.0	1	sp|P32331|YMC1_YEAST	 	39.7	307	33375	Mitochondrial glycine transporter YMC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YMC1 PE=1 SV=2	22	22	1.000	22	22	22.000	 
1261.0	1	sp|P32332|OAC1_YEAST	 	33.3	324	35153	Mitochondrial oxaloacetate transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OAC1 PE=1 SV=1	31	31	1.000	31	31	31.000	 
1262.0	1	sp|P32333|MOT1_YEAST	 	25.4	1867	209974	TATA-binding protein-associated factor MOT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MOT1 PE=1 SV=1	73	73	1.000	73	73	73.000	 
1263.0	1	sp|P32335|MSS51_YEAST	 	38.5	436	50880	Protein MSS51, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSS51 PE=1 SV=2	41	41	1.000	41	41	41.000	 
1264.0	1	sp|P32336|NUD1_YEAST	 	22.1	851	94103	Protein NUD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUD1 PE=1 SV=2	21	21	1.000	21	21	21.000	 
1265.0	1	sp|P32337|IMB3_YEAST	 	19.1	1089	121029	Importin subunit beta-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PSE1 PE=1 SV=2	42	42	1.000	42	42	42.000	 
1266.0	1	sp|P32338|RME1_YEAST	 	11.0	300	33904	Zinc finger protein RME1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RME1 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1267.0	1	sp|P32339|HMX1_YEAST	 	16.4	317	37179	Heme-binding protein HMX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HMX1 PE=2 SV=3	7	7	1.000	7	7	7.000	 
1268.0	1	sp|P32340|NDI1_YEAST	 	31.2	513	57249	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NDI1 PE=1 SV=1	63	63	1.000	63	63	63.000	 
1269.0	1	sp|P32341|VPH2_YEAST	 	29.3	215	25286	Vacuolar ATPase assembly integral membrane protein VPH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPH2 PE=1 SV=1	13	13	1.000	13	13	13.000	 
1270.0	1	sp|P32342|SRP21_YEAST	 	18.6	167	18425	Signal recognition particle subunit SRP21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRP21 PE=1 SV=3	7	7	1.000	7	7	7.000	 
1271.0	1	sp|P32343|SSH4_YEAST	 	12.3	579	65060	Protein SSH4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSH4 PE=1 SV=2	8	7	0.875	8	7	7.103	sp|P32343|SSH4_YEAST, sp|P36044|MNN4_YEAST
1272.0	1	sp|P32345|PP4C_YEAST	 	21.1	308	35264	Serine/threonine-protein phosphatase 4 catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPH3 PE=1 SV=2	12	12	1.000	12	12	12.000	 
1273.0	1	sp|P32347|DCUP_YEAST	 	39.2	362	41349	Uroporphyrinogen decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM12 PE=1 SV=1	45	45	1.000	45	45	45.000	 
1274.0	1	sp|P32349|RPC3_YEAST	 	30.9	654	74016	DNA-directed RNA polymerase III subunit RPC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC82 PE=1 SV=2	43	43	1.000	43	43	43.000	 
1275.0	1	sp|P32350|KNS1_YEAST	 	32.3	737	83842	Dual specificity protein kinase KNS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KNS1 PE=1 SV=2	50	50	1.000	50	50	50.000	 
1276.0	1	sp|P32351|IMPX_YEAST	 	19.9	346	39070	Sugar utilization regulatory protein IMP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMP2' PE=1 SV=2	15	15	1.000	15	15	15.000	 
1277.0	1	sp|P32352|ERG2_YEAST	 	22.5	222	24895	C-8 sterol isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG2 PE=1 SV=1	16	16	1.000	16	16	16.000	 
1278.0	1	sp|P32353|ERG3_YEAST	 	20.8	365	42730	Delta(7)-sterol 5(6)-desaturase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG3 PE=1 SV=1	20	20	1.000	20	20	20.000	 
1279.0	1	sp|P32354|MCM10_YEAST	 	14.9	571	65814	Minichromosome maintenance protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM10 PE=1 SV=2	12	12	1.000	12	12	12.000	 
1280.0	1	sp|P32356|TREA_YEAST	 	53.1	751	85878	Neutral trehalase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NTH1 PE=1 SV=3	122	117	0.959	122	117	121.466	sp|P32356|TREA_YEAST, sp|P35172|TREB_YEAST
1281.0	1	sp|P32357|AAR2_YEAST	 	26.2	355	41687	A1 cistron-splicing factor AAR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAR2 PE=1 SV=1	18	18	1.000	18	18	18.000	 
1282.0	1	sp|P32361|IRE1_YEAST	 	18.4	1115	126974	Serine/threonine-protein kinase/endoribonuclease IRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IRE1 PE=1 SV=2	33	33	1.000	33	33	33.000	 
1283.0	1	sp|P32363|GPI3_YEAST	 	12.6	452	51242	Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPT14 PE=1 SV=4	5	5	1.000	5	5	5.000	 
1284.0	1	sp|P32364|SMY1_YEAST	 	24.4	656	73798	Kinesin-related protein SMY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMY1 PE=1 SV=1	31	31	1.000	31	31	31.000	 
1285.0	1	sp|P32366|VA0D_YEAST	 	41.2	345	39790	V-type proton ATPase subunit d OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA6 PE=1 SV=2	41	41	1.000	41	41	41.000	 
1286.0	1	sp|P32367|TFC1_YEAST	 	41.1	649	73553	Transcription factor tau 95 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFC1 PE=1 SV=1	44	44	1.000	44	44	44.000	 
1287.0	1	sp|P32368|SAC1_YEAST	 	50.7	623	71124	Phosphoinositide phosphatase SAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAC1 PE=1 SV=1	105	105	1.000	105	105	105.000	 
1288.0	1	sp|P32377|MVD1_YEAST	 	49.2	396	44115	Diphosphomevalonate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MVD1 PE=1 SV=2	48	48	1.000	48	48	48.000	 
1289.0	1	sp|P32378|COQ2_YEAST	 	15.9	372	41001	4-hydroxybenzoate polyprenyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ2 PE=1 SV=1	16	16	1.000	16	16	16.000	 
1290.0	1	sp|P32379|PSA5_YEAST	 	33.5	260	28617	Proteasome subunit alpha type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUP2 PE=1 SV=2	21	21	1.000	21	21	21.000	 
1291.0	1	sp|P32380|SP110_YEAST	 	27.8	944	111780	Spindle pole body component 110 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPC110 PE=1 SV=1	51	51	1.000	51	51	51.000	 
1292.0	1	sp|P32381|ARP2_YEAST	 	43.7	391	44073	Actin-related protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARP2 PE=1 SV=1	76	76	1.000	76	76	76.000	 
1293.0	1	sp|P32383|PLC1_YEAST	 	4.1	869	100546	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PLC1 PE=1 SV=1	3	3	1.000	3	3	3.000	 
1294.0	1	sp|P32386|YBT1_YEAST	 	31.8	1661	189160	ATP-dependent bile acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBT1 PE=1 SV=2	137	130	0.949	137	130	136.226	sp|P32386|YBT1_YEAST, sp|P38735|VMR1_YEAST, sp|P53049|YOR1_YEAST
1295.0	1	sp|P32387|RM41_YEAST	 	29.7	263	30566	54S ribosomal protein L41, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRP20 PE=1 SV=1	18	18	1.000	18	18	18.000	 
1296.0	1	sp|P32388|RM49_YEAST	 	27.7	137	16021	54S ribosomal protein MRP49, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRP49 PE=1 SV=1	6	6	1.000	6	6	6.000	 
1297.0	1	sp|P32389|MET4_YEAST	 	8.8	672	74372	Transcriptional activator of sulfur metabolism MET4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET4 PE=1 SV=2	7	7	1.000	7	7	7.000	 
1298.0	1	sp|P32419|MDHP_YEAST	 	52.8	343	37186	Malate dehydrogenase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDH3 PE=1 SV=3	72	72	1.000	72	72	72.000	 
1299.0	1	sp|P32432|SFP1_YEAST	 	7.0	683	74784	Transcription factor SFP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SFP1 PE=1 SV=1	9	9	1.000	9	9	9.000	 
1300.0	1	sp|P32445|RIM1_YEAST	 	47.4	135	15386	Single-stranded DNA-binding protein RIM1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIM1 PE=1 SV=1	59	59	1.000	59	59	59.000	 
1301.0	1	sp|P32447|ASF1_YEAST	 	22.9	279	31603	Histone chaperone ASF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASF1 PE=1 SV=1	17	17	1.000	17	17	17.000	 
1302.0	1	sp|P32449|AROG_YEAST	 	44.3	370	39749	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO4 PE=1 SV=2	54	52	0.963	54	52	52.972	sp|P14843|AROF_YEAST, sp|P32449|AROG_YEAST
1303.0	1	sp|P32451|BIOB_YEAST	 	36.0	375	41884	Biotin synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BIO2 PE=1 SV=2	39	39	1.000	39	39	39.000	 
1304.0	1	sp|P32452|PHA2_YEAST	 	13.5	334	38225	Putative prephenate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHA2 PE=1 SV=3	8	8	1.000	8	8	8.000	 
1305.0	1	sp|P32453|ATP11_YEAST	 	37.4	318	36851	Protein ATP11, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP11 PE=1 SV=1	35	35	1.000	35	35	35.000	 
1306.0	1	sp|P32454|APE2_YEAST	 	51.5	952	107754	Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APE2 PE=1 SV=4	175	159	0.909	175	159	169.300	sp|P32454|APE2_YEAST, sp|P37898|AAP1_YEAST
1307.0	1	sp|P32457|CDC3_YEAST	 	37.3	520	60054	Cell division control protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC3 PE=1 SV=3	71	71	1.000	71	71	71.000	 
1308.0	1	sp|P32458|CDC11_YEAST	 	30.4	415	47648	Cell division control protein 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC11 PE=1 SV=1	28	28	1.000	28	28	28.000	 
1309.0	1	sp|P32459|ALLA_YEAST	 	20.0	195	21726	Ureidoglycolate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAL3 PE=1 SV=1	4	4	1.000	4	4	4.000	 
1310.0	1	sp|P32460|DCG1_YEAST	 	25.4	244	27313	Protein DCG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DCG1 PE=2 SV=1	12	12	1.000	12	12	12.000	 
1311.0	1	sp|P32461|DPH2_YEAST	 	12.0	534	59775	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPH2 PE=1 SV=1	13	13	1.000	13	13	13.000	 
1312.0	1	sp|P32462|ERG24_YEAST	 	8.9	438	50615	Delta(14)-sterol reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG24 PE=1 SV=1	11	11	1.000	11	11	11.000	 
1313.0	1	sp|P32463|ACPM_YEAST	 	27.2	125	13943	Acyl carrier protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACP1 PE=1 SV=1	12	12	1.000	12	12	12.000	 
1314.0	1	sp|P32464|HYM1_YEAST	 	30.8	399	45853	Protein HYM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HYM1 PE=1 SV=1	28	28	1.000	28	28	28.000	 
1315.0	1	sp|P32465|HXT1_YEAST	 	14.2	570	63261	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXT1 PE=1 SV=1	33	6	0.182	33	6	7.411	sp|P13181|GAL2_YEAST, sp|P23585|HXT2_YEAST, sp|P32465|HXT1_YEAST, sp|P32466|HXT3_YEAST, sp|P32467|HXT4_YEAST, sp|P38695|HXT5_YEAST, sp|P39003|HXT6_YEAST, sp|P39004|HXT7_YEAST, sp|P43581|HXT10_YEAST
1316.0	1	sp|P32466|HXT3_YEAST	 	22.6	567	62557	Low-affinity glucose transporter HXT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXT3 PE=1 SV=1	56	39	0.696	56	39	43.418	sp|P13181|GAL2_YEAST, sp|P23585|HXT2_YEAST, sp|P32465|HXT1_YEAST, sp|P32466|HXT3_YEAST, sp|P32467|HXT4_YEAST, sp|P38695|HXT5_YEAST, sp|P39003|HXT6_YEAST, sp|P39004|HXT7_YEAST, sp|P43581|HXT10_YEAST
1317.0	1	sp|P32467|HXT4_YEAST	 	14.8	576	63909	Low-affinity glucose transporter HXT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXT4 PE=1 SV=1	66	7	0.106	66	7	12.569	sp|P13181|GAL2_YEAST, sp|P23585|HXT2_YEAST, sp|P32465|HXT1_YEAST, sp|P32466|HXT3_YEAST, sp|P32467|HXT4_YEAST, sp|P38695|HXT5_YEAST, sp|P39003|HXT6_YEAST, sp|P39004|HXT7_YEAST, sp|P43581|HXT10_YEAST
1318.0	1	sp|P32468|CDC12_YEAST	 	56.5	407	46667	Cell division control protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC12 PE=1 SV=1	70	70	1.000	70	70	70.000	 
1319.0	1	sp|P32469|DPH5_YEAST	 	31.0	300	33847	Diphthine methyl ester synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPH5 PE=1 SV=1	16	16	1.000	16	16	16.000	 
1320.0	1	sp|P32471|EF1B_YEAST	 	55.8	206	22627	Elongation factor 1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFB1 PE=1 SV=4	62	62	1.000	62	62	62.000	 
1321.0	1	sp|P32472|FKBP2_YEAST	 	50.4	135	14487	Peptidyl-prolyl cis-trans isomerase FPR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FPR2 PE=1 SV=1	11	11	1.000	11	11	11.000	 
1322.0	1	sp|P32473|ODPB_YEAST	 	48.4	366	40053	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDB1 PE=1 SV=2	72	72	1.000	72	72	72.000	 
1323.0	1	sp|P32474|EUG1_YEAST	 	18.2	517	58981	Protein disulfide-isomerase EUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EUG1 PE=1 SV=1	23	23	1.000	23	23	23.000	 
1324.0	1	sp|P32476|ERG1_YEAST	 	35.3	496	55125	Squalene monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG1 PE=1 SV=2	49	49	1.000	49	49	49.000	 
1325.0	1	sp|P32477|GSH1_YEAST	 	25.1	678	78253	Glutamate--cysteine ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSH1 PE=1 SV=1	45	45	1.000	45	45	45.000	 
