New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Jan 18 13:51:14 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CarbonSources	Unique_CarbonSources	Corrected_CarbonSources	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources	TotInt_131N_CarbonSources	TotInt_131C_CarbonSources
1138	1	sp|P27697|COQ8_YEAST	 	 	 	 	18.0	501	56741	Atypical kinase COQ8, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ8 PE=1 SV=1	19	19	1.000	19	19	19.000	19	931584.437011	918004.400393	1074006.58594	1663199.77832	1567328.21777	1599665.17871	1326449.21484	1104802.50439	1181127.62402	20939.639435	20641.917693
1139	1	sp|P27705|MIG1_YEAST	 	 	 	 	16.9	504	55531	Regulatory protein MIG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIG1 PE=1 SV=1	12	12	1.000	12	12	12.000	12	739386.106691	703078.928468	864166.090576	685209.010683	693690.731813	621257.189026	848905.614501	686396.709839	798341.460206	26267.337462	20744.04022
1140	1	sp|P27796|THIK_YEAST	 	 	 	 	21.6	417	44730	3-ketoacyl-CoA thiolase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POT1 PE=1 SV=1	13	13	1.000	13	13	13.000	13	692294.608523	785924.179199	698071.944824	926923.921142	1378674.58057	1314300.85986	4397764.73437	5587075.40918	2062566.30859	70239.818482	65480.574342
1141	1	sp|P27801|PEP3_YEAST	 	 	 	 	34.6	918	107397	Vacuolar membrane protein PEP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEP3 PE=1 SV=1	61	61	1.000	61	61	61.000	61	4867787.07282	4247837.75458	4844064.84986	4436589.52124	3954856.02441	4132510.40075	4882057.34436	4235852.22961	4749162.10376	131744.437318	95615.017148
1142	1	sp|P27809|KRE2_YEAST	 	 	 	 	49.1	442	51386	Glycolipid 2-alpha-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE2 PE=1 SV=1	77	77	1.000	77	77	77.000	77	15918713.7241	13142943.4337	15645930.1687	9406292.38336	7801574.27136	8385062.51331	11542542.0674	10131111.8808	11859193.5479	409307.777162	252442.727908
1143	1	sp|P27810|KTR1_YEAST	 	 	 	 	45.3	393	46022	Alpha-1,2 mannosyltransferase KTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KTR1 PE=1 SV=1	76	76	1.000	76	76	76.000	76	26078380.4707	19400851.4343	23140501.876	12658003.7922	10866505.3125	11181090.8612	25093051.8174	22097855.3574	25607001.9773	653388.055515	566399.963283
1144	1	sp|P27825|CALX_YEAST	 	 	 	 	27.9	502	56967	Calnexin homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CNE1 PE=1 SV=1	24	24	1.000	24	24	24.000	24	5688867.72406	4445734.64603	4873041.07126	3445271.50232	3134543.7243	3238669.51834	5307595.80121	4580460.38788	5223142.03442	171024.218505	126768.630127
1145	1	sp|P27882|ERV1_YEAST	 	 	 	 	58.7	189	21639	Mitochondrial FAD-linked sulfhydryl oxidase ERV1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERV1 PE=1 SV=2	27	27	1.000	27	27	27.000	27	4368722.9624	3735222.46875	4319865.19141	3118003.79004	2956658.03858	2801109.09961	3982320.22949	3461445.23486	4403653.59326	104387.90973	112869.583988
1146	1	sp|P27895|CIN8_YEAST	 	 	 	 	4.0	1000	113310	Kinesin-like protein CIN8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIN8 PE=1 SV=3	6	6	1.000	6	6	6.000	6	134774.973145	159005.453124	189662.117188	271226.091797	377822.916992	274567.211913	142783.837891	121409.682618	107792.321777	3656.829467	1091.825348
1147	1	sp|P27929|NAM9_YEAST	 	 	 	 	31.7	486	56355	37S ribosomal protein NAM9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAM9 PE=1 SV=2	41	41	1.000	41	41	41.000	41	13234302.7764	11709128.7012	13640476.4658	14103881.7998	14320721.9531	14040582.1055	18267553.5947	14394225.2231	17323604.9302	443541.781619	324202.056914
1148	1	sp|P27999|RPB9_YEAST	 	 	 	 	54.1	122	14288	DNA-directed RNA polymerase II subunit RPB9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB9 PE=1 SV=1	21	21	1.000	21	21	21.000	21	1426455.81281	1593743.39887	1684151.81531	2027380.7041	1836482.90833	2059427.40994	3653739.99133	3015604.10187	3503355.07288	85032.912507	91498.72174
1149	1	sp|P28000|RPAC2_YEAST	 	 	 	 	40.1	142	16151	DNA-directed RNA polymerases I and III subunit RPAC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC19 PE=1 SV=1	9	9	1.000	9	9	9.000	9	1829596.02881	1800122.6958	1922527.39844	949267.507813	969388.270508	879648.528321	1127063.0708	1015060.37891	1066280.42285	14788.330476	13169.697022
1150	1	sp|P28003|FUN19_YEAST	 	 	sp|P28003|FUN19_YEAST, sp|Q99326|YO338_YEAST	 	30.0	413	47068	SWIRM domain-containing protein FUN19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUN19 PE=1 SV=3	19	17	0.895	19	17	18.789	17	870978.281982	801031.506225	964769.40503	625886.804872	583894.90625	599630.486573	1281989.11048	1115822.92182	1324894.5163	48758.492493	35642.774169
1151	1	sp|P28004|PRP45_YEAST	 	 	 	 	25.1	379	42482	Pre-mRNA-processing protein 45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRP45 PE=1 SV=2	14	14	1.000	14	14	14.000	14	445392.343872	458518.044982	554013.444581	1178629.50317	1398995.37671	1456735.89123	597356.999879	520460.283323	487173.592286	22977.175904	14203.120849
1152	1	sp|P28005|POP5_YEAST	 	 	 	 	15.0	173	19573	Ribonuclease P/MRP protein subunit POP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POP5 PE=1 SV=1	5	5	1.000	5	5	5.000	5	282902.856445	245304.930664	284782.608399	519377.134765	472943.384766	505359.664061	254509.59375	212598.01709	211883.220214	6601.885376	4954.635254
1153	1	sp|P28006|GAC1_YEAST	 	 	 	 	22.1	793	88532	Serine/threonine-protein phosphatase 1 regulatory subunit GAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAC1 PE=1 SV=2	28	28	1.000	28	28	28.000	28	1790054.77741	1776837.68982	1968272.14893	1209045.2699	1173126.31534	1107177.42975	4121826.19849	3460066.94507	4006690.13379	115078.06848	80487.160736
1154	1	sp|P28007|GAR1_YEAST	 	 	 	 	19.5	205	21480	H/ACA ribonucleoprotein complex subunit GAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAR1 PE=1 SV=1	11	11	1.000	11	11	11.000	11	262085.277648	284071.917421	342814.992431	506769.42456	511341.232664	455884.828614	297129.141237	229057.829528	235536.008942	5613.309907	3208.579955
1155	1	sp|P28239|IPYR2_YEAST	 	 	 	 	35.2	310	35572	Inorganic pyrophosphatase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPA2 PE=1 SV=1	29	29	1.000	29	29	29.000	29	4375086.15082	4017646.82446	4711557.66589	3176643.39892	3018519.71729	2896868.78687	3930965.65082	3263487.65967	3656887.95679	108443.075043	74120.96109
1156	1	sp|P28240|ACEA_YEAST	 	 	 	 	36.4	557	62408	Isocitrate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ICL1 PE=1 SV=1	82	82	1.000	82	82	82.000	82	4640220.29907	3838387.00015	5712059.42987	62821842.2253	60582436.5754	59952262.6555	46182725.7308	38778374.204	46932329.357	996065.107666	632832.441225
1157	1	sp|P28241|IDH2_YEAST	 	 	 	 	44.7	369	39739	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IDH2 PE=1 SV=1	63	63	1.000	63	63	63.000	63	16951540.433	15701920.1323	19175838.0706	19154648.5353	17771441.4822	17188337.0742	22935944.1992	19076861.1257	20120819.3093	529675.499692	311901.687164
1158	1	sp|P28263|UBC8_YEAST	 	 	 	 	21.1	218	24633	Ubiquitin-conjugating enzyme E2-24 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC8 PE=1 SV=2	6	6	1.000	6	6	6.000	6	431600.499512	403885.230469	474998.932617	995396.152344	1037109.02344	1038826.21094	461811.141602	424498.592773	402762.646485	9766.440552	7783.089782
1159	1	sp|P28272|PYRD_YEAST	 	 	 	 	14.6	314	34801	Dihydroorotate dehydrogenase (fumarate) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA1 PE=1 SV=1	11	11	1.000	11	11	11.000	11	3461215.13769	3349366.74316	4008312.71973	2436194.32422	2781403.98828	2419535.5752	1967456.44043	1733561.4585	1972221.53564	80736.798461	37907.939759
1160	1	sp|P28273|OPLA_YEAST	 	 	 	 	37.5	1286	140426	5-oxoprolinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OXP1 PE=1 SV=2	90	90	1.000	90	90	90.000	90	8929264.00775	8394866.85053	9801114.7384	11177560.9003	11628144.1879	11270385.2902	8350862.83752	7097897.7649	7531522.22937	208706.202606	153198.171205
1161	1	sp|P28274|URA7_YEAST	 	 	sp|P28274|URA7_YEAST, sp|P38627|URA8_YEAST	 	47.2	579	64710	CTP synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA7 PE=1 SV=2	79	75	0.949	79	75	77.564	75	11570377.8207	10542093.7408	12147314.3558	17476295.4786	17800776.2087	18202110.1033	10807810.2104	8768645.38916	9676026.65845	347346.447632	267574.690555
1162	1	sp|P28319|CWP1_YEAST	 	 	 	 	24.3	239	24268	Cell wall protein CWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CWP1 PE=1 SV=2	11	11	1.000	11	11	11.000	11	740400.138184	798021.486817	866820.910645	1125110.32813	1011218.85937	1182642.56153	1572397.09375	1207715.9375	1382067.21484	37714.993835	28224.453799
1163	1	sp|P28320|CWC16_YEAST	 	 	 	 	20.5	278	32312	Protein CWC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJU2 PE=1 SV=1	10	10	1.000	10	10	10.000	10	551824.152344	531543.438476	577385.860352	374086.463379	357756.012209	346948.160647	465059.260743	398272.624024	449586.65039	11590.376465	9450.657104
1164	1	sp|P28321|MGLL_YEAST	 	 	 	 	45.7	313	35562	Monoglyceride lipase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJU3 PE=1 SV=2	29	29	1.000	29	29	29.000	29	3358204.44214	3175655.63916	3997526.41724	4606049.13721	4354848.57544	4372740.05005	4240670.68653	3484588.37152	3899177.23364	136430.74994	100579.570679
1165	1	sp|P28495|CAPZA_YEAST	 	 	 	 	35.8	268	30699	F-actin-capping protein subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAP1 PE=1 SV=1	30	30	1.000	30	30	30.000	30	5021526.98694	4957101.20959	5987631.54981	7663780.72632	8730490.57129	8451417.73853	4363759.81555	3566135.25415	3784314.02112	122330.758941	70824.917297
1166	1	sp|P28496|LAC1_YEAST	 	 	 	 	16.0	418	48991	Sphingosine N-acyltransferase LAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LAC1 PE=1 SV=2	18	18	1.000	18	18	18.000	18	2890072.99072	2344276.9751	2742479.28906	1447495.54736	1304296.11352	1316382.02215	1443465.56128	1370026.92334	1523471.94727	35819.87271	38774.78061
1167	1	sp|P28519|RAD14_YEAST	 	 	 	 	20.5	371	43038	DNA repair protein RAD14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAD14 PE=1 SV=2	8	8	1.000	8	8	8.000	8	332544.755859	307072.202637	354419.000976	263848.047608	262870.103272	260862.467285	310119.94043	257724.859375	297269.032227	9239.938172	7665.169983
1168	1	sp|P28584|TRK2_YEAST	 	 	 	 	3.4	889	101085	Low-affinity potassium transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRK2 PE=1 SV=1	2	2	1.000	2	2	2.000	2	3931022.97022	3419770.75073	3985547.91138	1652624.39648	1634118.17383	1425111.01172	3828154.37256	2897221.66553	4204742.92383	132852.25	107874.070313
1169	1	sp|P28625|YIM1_YEAST	 	 	 	 	40.5	365	41637	Protein YIM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIM1 PE=1 SV=2	59	59	1.000	59	59	59.000	59	11693189.6179	10424524.0934	11258030.4225	9993700.89728	9065439.36291	9810178.90637	11655049.4386	10038298.9509	12125411.6323	311113.301881	250479.642456
1170	1	sp|P28627|IMP1_YEAST	 	 	 	 	21.6	190	21432	Mitochondrial inner membrane protease subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMP1 PE=1 SV=3	4	4	1.000	4	4	4.000	4	205934.19629	158960.448242	188392.896484	113421.059571	106360.982422	102431.743164	202901.333008	186294.336914	205523.836913	4848.549011	4676.024902
1171	1	sp|P28707|SBA1_YEAST	 	 	 	 	13.9	216	24081	Co-chaperone protein SBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SBA1 PE=1 SV=3	18	18	1.000	18	18	18.000	18	12945478.4995	12034633.3564	13594344.2266	11027560.2539	11924061.9189	11572315.9385	3759349.21436	2900876.24023	2658769.26758	54779.075866	16138.332061
1172	1	sp|P28708|PRR1_YEAST	 	 	sp|P05374|CHO2_YEAST, sp|P28708|PRR1_YEAST	 	36.5	518	58955	Serine/threonine-protein kinase PRR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRR1 PE=1 SV=1	34	29	0.853	34	29	30.510	29	2168601.91748	1702243.61023	1998217.69843	1694051.45703	1623441.55481	1581375.60376	1825174.78912	1552467.78491	1764252.13062	44197.088594	31710.830443
1173	1	sp|P28737|MSP1_YEAST	 	 	 	 	35.9	362	40343	Protein MSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSP1 PE=1 SV=2	36	36	1.000	36	36	36.000	36	3599468.56098	3451789.49903	3727358.70532	3145274.68506	3059010.93006	3034459.21155	5062688.80395	4207862.53515	4842825.27344	140977.254425	105938.123963
1174	1	sp|P28743|KIP2_YEAST	 	 	 	 	5.4	706	78377	Kinesin-like protein KIP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KIP2 PE=1 SV=1	3	3	1.000	3	3	3.000	3	25289.495117	25487.428711	27501.541993	42389.110352	39050.748047	40393.373535	16466.390625	13527.255371	13676.547607	150.0	150.0
1175	1	sp|P28777|AROC_YEAST	 	 	 	 	55.9	376	40838	Chorismate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO2 PE=1 SV=1	53	53	1.000	53	53	53.000	53	7743047.14679	6881750.16281	7660870.69366	13412976.1572	14640308.6267	13974087.9407	10533516.4329	8679891.12756	9752737.68432	262210.846804	144647.291198
1176	1	sp|P28789|HEM3_YEAST	 	 	 	 	15.9	327	36674	Porphobilinogen deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM3 PE=1 SV=1	9	9	1.000	9	9	9.000	9	1089468.36133	1073135.93945	1049809.42578	1109585.17578	1123266.26563	966922.224609	1060798.23438	934760.673828	1042784.8711	14665.410186	14181.029388
1177	1	sp|P28791|SEC20_YEAST	 	 	 	 	17.5	383	43881	Protein transport protein SEC20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC20 PE=1 SV=1	14	14	1.000	14	14	14.000	14	3619594.3659	3125088.7699	3431813.00171	2768445.00147	2789438.43482	2755938.9646	5262931.49292	4445465.07019	5357505.60034	135848.712035	127527.131897
1178	1	sp|P28795|PEX3_YEAST	 	 	 	 	21.5	441	50675	Peroxisomal biogenesis factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEX3 PE=1 SV=1	20	20	1.000	20	20	20.000	20	3633375.29297	2734362.30957	3348076.24219	2604257.44629	2387909.91504	2347133.85547	5535708.62109	4954743.02734	5819688.68555	183264.60028	136845.761382
1179	1	sp|P28817|HIBCH_YEAST	 	 	 	 	29.0	500	56288	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EHD3 PE=1 SV=2	26	26	1.000	26	26	26.000	26	2511027.41907	2042917.88342	2417827.81469	2710535.9209	2678924.58838	2588303.9209	2792835.27148	2287785.5957	2797663.46802	104835.073974	71955.705261
1180	1	sp|P28834|IDH1_YEAST	 	 	 	 	44.4	360	39324	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IDH1 PE=1 SV=2	66	66	1.000	66	66	66.000	66	29625924.2301	28914263.6254	34431872.7645	28008385.0867	27634829.7271	26213771.6162	41061373.7847	34403713.9238	39788708.7683	992686.358487	764894.345917
1181	1	sp|P29029|CHIT_YEAST	 	 	 	 	5.9	562	59014	Endochitinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTS1 PE=1 SV=2	9	9	1.000	9	9	9.000	9	10158312.9932	10422715.4375	13362564.5654	2468180.50586	2368857.83594	1895323.50586	8184645.96826	8355692.00098	9006000.97266	94496.308166	64525.44104
1182	1	sp|P29055|TF2B_YEAST	 	 	 	 	22.6	345	38200	Transcription initiation factor IIB OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUA7 PE=1 SV=1	20	20	1.000	20	20	20.000	20	2313959.31397	2089889.72845	2570504.07642	2193193.91455	2289577.30078	2040906.68237	2821974.96607	2486137.19788	3180303.75806	87282.035034	73976.267517
1183	1	sp|P29056|TF3B_YEAST	 	 	 	 	14.9	596	66906	Transcription factor IIIB 70 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRF1 PE=1 SV=1	13	13	1.000	13	13	13.000	13	1267450.73108	1201812.61426	1380867.10278	797390.263182	790345.372559	758361.208983	1147952.18262	970506.114503	1109284.41895	27788.666382	28077.931641
1184	1	sp|P29295|HRR25_YEAST	 	 	sp|P29295|HRR25_YEAST, sp|P39962|KC13_YEAST	 	30.6	494	57339	Casein kinase I homolog HRR25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRR25 PE=1 SV=1	27	23	0.852	27	23	25.244	23	5797307.16815	4773973.91303	5447453.55176	4416817.49414	3701375.78174	4222300.44409	5703100.59644	4898663.81873	5798374.68976	119363.922668	79090.834566
1185	1	sp|P29311|BMH1_YEAST	 	 	sp|P29311|BMH1_YEAST, sp|P34730|BMH2_YEAST	 	78.3	267	30091	Protein BMH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BMH1 PE=1 SV=4	146	30	0.205	146	30	90.000	30	5418255.25341	4989040.68372	5784489.64258	8021680.29889	7090188.72797	7411168.62103	4556084.90125	4034892.29565	3881087.86456	50246.424652	46066.000366
1186	1	sp|P29340|UBCX_YEAST	 	 	 	 	26.2	183	21118	Ubiquitin-conjugating enzyme E2-21 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEX4 PE=1 SV=1	4	4	1.000	4	4	4.000	4	109499.076172	97858.678224	104602.472657	88262.750977	78593.507813	85579.127929	98809.617188	86655.935547	97946.410644	2203.144684	2663.079834
1187	1	sp|P29366|BEM1_YEAST	 	 	 	 	17.1	551	61605	Bud emergence protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BEM1 PE=1 SV=1	16	16	1.000	16	16	16.000	16	1315799.04688	1300353.79004	1493777.9375	2198379.64062	2367186.50391	2219319.25	1677424.08594	1421612.61719	1390011.12695	43475.39087	25398.227173
1188	1	sp|P29453|RL8B_YEAST	 	 	sp|P17076|RL8A_YEAST, sp|P29453|RL8B_YEAST	 	62.1	256	28111	60S ribosomal protein L8-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL8B PE=1 SV=3	186	46	0.247	186	46	142.119	46	25755765.4397	25073954.9937	29889366.7363	53549760.6367	56283499.0557	57139620.4707	31355373.2471	25847359.1025	26024331.0059	567693.38608	377497.086062
1189	1	sp|P29461|PTP2_YEAST	 	 	 	 	4.7	750	85867	Tyrosine-protein phosphatase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PTP2 PE=1 SV=1	3	3	1.000	3	3	3.000	3	80562.010743	75993.217285	73484.404297	59465.51001	52624.871094	57254.692871	219877.99414	192884.789062	224793.520507	3323.495117	2453.471191
1190	1	sp|P29465|CHS3_YEAST	 	 	 	 	23.4	1165	131600	Chitin synthase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHS3 PE=1 SV=3	50	50	1.000	50	50	50.000	50	5717931.06128	4951493.63989	5792953.64502	4802490.46778	4516010.05835	4646011.94629	2818548.27564	2500332.27307	2652065.83582	74950.320982	57046.66623
1191	1	sp|P29468|PAP_YEAST	 	 	 	 	37.0	568	64551	Poly(A) polymerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAP1 PE=1 SV=1	40	40	1.000	40	40	40.000	40	2739829.63965	2644509.75683	3097814.88648	3132929.21228	2988134.73865	2881141.95532	2510297.74316	2221716.48193	2363774.31079	72478.928712	37698.368805
1192	1	sp|P29469|MCM2_YEAST	 	 	 	 	33.1	868	98778	DNA replication licensing factor MCM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM2 PE=1 SV=2	47	47	1.000	47	47	47.000	47	1765001.2948	1649138.56177	1794567.78323	2496496.09985	2518607.7583	2579538.51965	1787636.79947	1516661.84983	1615211.94836	49915.249053	37097.761107
1193	1	sp|P29478|SEC65_YEAST	 	 	 	 	28.6	273	31169	Signal recognition particle subunit SEC65 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC65 PE=1 SV=1	18	18	1.000	18	18	18.000	18	3464788.09278	3584140.4707	4009116.03809	3159032.80664	3155966.61035	2986892.07324	3521479.76562	2987444.97851	3189589.30274	80132.490601	39782.246674
1194	1	sp|P29496|MCM5_YEAST	 	 	 	 	28.3	775	86410	Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM5 PE=1 SV=1	36	36	1.000	36	36	36.000	36	2326911.59094	2084277.21216	2373404.177	2938633.44214	2660681.42407	2781682.22974	1966405.07996	1763936.18994	1842447.28882	51219.584656	27176.022063
1195	1	sp|P29509|TRXB1_YEAST	 	 	sp|P29509|TRXB1_YEAST, sp|P38816|TRXB2_YEAST	 	49.5	319	34238	Thioredoxin reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRR1 PE=1 SV=3	52	49	0.942	52	49	51.722	49	3021818.39008	2938764.49384	3254250.39124	5690114.49414	6263401.09131	5570440.68457	4315488.08691	3613743.32007	3947437.86523	113644.55905	48261.116333
1196	1	sp|P29539|RIF1_YEAST	 	 	sp|P29539|RIF1_YEAST, sp|Q08932|RSA1_YEAST	 	16.9	1916	217928	Telomere length regulator protein RIF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIF1 PE=1 SV=3	47	44	0.936	47	44	46.316	44	2822639.12622	2478496.47656	2863396.1731	2242068.67932	2110928.87134	2152875.71973	2317472.18189	1934017.15271	2133593.4065	45756.413724	30694.660643
1197	1	sp|P29547|EF1G1_YEAST	 	 	sp|P29547|EF1G1_YEAST, sp|P36008|EF1G2_YEAST	 	52.5	415	47087	Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAM1 PE=1 SV=2	116	93	0.802	116	93	105.017	93	53965924.8545	44235901.8201	50142321.3102	43566029.0477	39141323.9767	41893964.4357	57658449.5907	47140155.4169	57729392.3243	1414355.88968	1158100.52441
1198	1	sp|P29703|FNTA_YEAST	 	 	 	 	32.0	316	37507	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAM2 PE=1 SV=1	22	22	1.000	22	22	22.000	22	3632155.27149	2938701.29883	3581803.89746	2827246.71142	2447134.83545	2594693.55371	4113459.64258	3475691.75781	3963521.87402	83519.910737	54144.019561
1199	1	sp|P29704|FDFT_YEAST	 	 	 	 	43.7	444	51719	Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG9 PE=1 SV=2	78	78	1.000	78	78	78.000	78	21106411.0366	16940574.0098	19627607.2495	16635524.1202	14186506.1204	15276986.2452	19677452.6794	17056727.5094	19639468.9034	513174.653347	388901.961338
1200	1	sp|P29952|MPI_YEAST	 	 	 	 	38.5	429	48188	Mannose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMI40 PE=1 SV=4	43	43	1.000	43	43	43.000	43	7859938.10913	6705988.64111	7466542.34717	9511108.12598	10847999.478	9990753.14282	6587057.63477	5273013.06702	6096707.58252	143598.475646	155931.927063
1201	1	sp|P30283|CGS5_YEAST	 	 	 	 	12.0	435	50431	S-phase entry cyclin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CLB5 PE=1 SV=1	3	3	1.000	3	3	3.000	3	103004.579102	95292.054687	86931.334473	74891.983887	73265.16626	71080.265625	79543.663269	72376.006348	78845.808044	4679.056152	1642.752198
1202	1	sp|P30402|PYRX_YEAST	 	 	sp|P13298|PYRE_YEAST, sp|P30402|PYRX_YEAST	 	36.6	227	24810	Orotate phosphoribosyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA10 PE=1 SV=3	25	12	0.480	25	12	15.628	12	1340831.83203	1315543.25977	1528676.55664	1324657.02539	1263284.84766	1257353.98633	3063916.54297	2566532.48828	2913008.84766	108032.110106	82554.488588
1203	1	sp|P30606|ITR2_YEAST	 	 	 	 	5.3	609	66709	Myo-inositol transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ITR2 PE=1 SV=2	5	5	1.000	5	5	5.000	5	396080.271484	367022.16455	399823.042968	312727.598634	303900.26416	323013.23291	676920.935547	551083.407227	690635.382324	18972.640259	13571.441894
